id,State,name,rate2010,rate2011,rate2012,rate2013,rate2014,rate2015,rate2016
08017,CO,Cheyenne County,"1,831","1,863","1,873","1,881","1,841","1,816","1,848"
08019,CO,Clear Creek County,"9,081","9,052","9,075","9,100","9,215","9,364","9,436"
08021,CO,Conejos County,"8,292","8,317","8,279","8,257","8,276","8,125","8,129"
08023,CO,Costilla County,"3,526","3,646","3,603","3,521","3,540","3,563","3,721"
08025,CO,Crowley County,"5,852","5,846","5,418","5,325","5,608","5,639","5,694"
08027,CO,Custer County,"4,275","4,227","4,241","4,264","4,344","4,425","4,602"
08029,CO,Delta County,"30,880","30,374","30,438","30,314","29,961","29,950","30,442"
08031,CO,Denver County,"603,329","619,281","633,563","647,433","662,425","680,032","693,060"
08033,CO,Dolores County,"2,065","2,033","1,998","2,030","1,975","1,981","2,056"
08035,CO,Douglas County,"286,979","292,607","298,754","306,442","314,981","322,381","328,632"
08037,CO,Eagle County,"52,081","51,751","51,942","52,379","52,815","53,346","53,989"
08039,CO,Elbert County,"23,094","23,260","23,400","23,670","24,128","24,698","25,231"
08041,CO,El Paso County,"626,950","636,901","645,641","654,993","662,647","674,290","688,284"
08043,CO,Fremont County,"46,857","47,417","47,122","46,467","46,427","46,713","47,446"
08045,CO,Garfield County,"56,096","55,964","56,709","56,914","57,195","57,768","58,887"
08047,CO,Gilpin County,"5,461","5,444","5,453","5,567","5,773","5,817","5,931"
08049,CO,Grand County,"14,782","14,543","14,147","14,254","14,461","14,580","15,008"
08051,CO,Gunnison County,"15,357","15,458","15,425","15,643","15,830","16,137","16,408"
08053,CO,Hinsdale County,844,826,797,805,778,769,788
08055,CO,Huerfano County,"6,667","6,522","6,582","6,479","6,407","6,459","6,677"
08057,CO,Jackson County,"1,385","1,380","1,347","1,355","1,395","1,352","1,357"
08059,CO,Jefferson County,"535,916","539,865","546,080","551,912","559,076","565,143","571,837"
08061,CO,Kiowa County,"1,396","1,457","1,438","1,417","1,409","1,414","1,373"
08063,CO,Kit Carson County,"8,247","8,201","8,107","8,279","8,054","8,234","8,195"
08065,CO,Lake County,"7,267","7,371","7,280","7,296","7,351","7,461","7,618"
08067,CO,La Plata County,"51,374","51,788","52,356","53,339","53,882","54,770","55,623"
08069,CO,Larimer County,"300,523","305,267","310,965","316,605","324,709","333,869","339,993"
08071,CO,Las Animas County,"15,392","15,027","14,967","14,401","14,072","14,067","14,103"
08073,CO,Lincoln County,"5,470","5,431","5,442","5,430","5,507","5,551","5,643"
08075,CO,Logan County,"22,127","22,096","21,846","21,660","21,940","21,946","21,919"
08077,CO,Mesa County,"146,486","147,172","147,471","147,372","147,502","148,401","150,083"
08079,CO,Mineral County,704,711,710,722,693,724,732
08081,CO,Moffat County,"13,812","13,424","13,164","13,099","12,899","12,899","13,109"
08083,CO,Montezuma County,"25,553","25,467","25,437","25,657","25,783","26,153","26,999"
08085,CO,Montrose County,"41,194","40,897","40,678","40,634","40,747","40,800","41,471"
08087,CO,Morgan County,"28,172","28,512","28,331","28,306","28,208","28,323","28,274"
08089,CO,Otero County,"18,882","18,867","18,689","18,525","18,407","18,284","18,295"
08091,CO,Ouray County,"4,466","4,454","4,546","4,579","4,615","4,660","4,857"
08093,CO,Park County,"16,263","16,089","16,037","16,118","16,296","16,581","17,166"
08095,CO,Phillips County,"4,463","4,370","4,382","4,357","4,380","4,326","4,288"
08097,CO,Pitkin County,"17,158","17,129","17,223","17,361","17,595","17,782","17,752"
08099,CO,Prowers County,"12,558","12,500","12,408","12,286","12,040","11,949","11,922"
08101,CO,Pueblo County,"159,521","159,785","160,397","160,803","161,350","163,117","165,123"
08103,CO,Rio Blanco County,"6,668","6,782","6,796","6,740","6,660","6,548","6,545"
08105,CO,Rio Grande County,"12,020","11,916","11,882","11,725","11,561","11,467","11,479"
08107,CO,Routt County,"23,447","23,257","23,285","23,587","24,054","24,325","24,648"
08109,CO,Saguache County,"6,136","6,178","6,305","6,209","6,161","6,209","6,389"
08111,CO,San Juan County,708,693,691,695,717,694,694
08113,CO,San Miguel County,"7,358","7,483","7,578","7,636","7,755","7,849","8,017"
08115,CO,Sedgwick County,"2,370","2,372","2,372","2,342","2,330","2,385","2,407"
08117,CO,Summit County,"28,065","27,972","28,223","28,653","29,205","29,892","30,374"
08119,CO,Teller County,"23,447","23,329","23,373","23,242","23,375","23,329","24,043"
08121,CO,Washington County,"4,802","4,812","4,737","4,781","4,784","4,860","4,908"
08123,CO,Weld County,"254,164","258,629","263,997","270,182","276,163","285,053","294,932"
08125,CO,Yuma County,"10,024","10,156","10,117","10,205","10,232","10,095","10,103"
09001,CT,Fairfield County,"919,750","928,890","934,931","940,621","943,686","944,674","944,177"
09003,CT,Hartford County,"895,388","897,057","897,420","897,737","896,258","894,692","892,389"
09005,CT,Litchfield County,"189,771","188,968","187,487","186,760","185,110","183,776","182,571"
09007,CT,Middlesex County,"165,631","166,225","165,512","165,219","164,555","163,577","163,329"
09009,CT,New Haven County,"863,480","864,009","864,177","862,712","861,534","859,073","856,875"
09011,CT,New London County,"274,072","273,226","274,267","273,405","272,053","270,639","269,801"
09013,CT,Tolland County,"153,214","153,093","152,006","151,881","151,758","151,684","151,118"
09015,CT,Windham County,"118,593","118,425","117,995","117,668","116,919","116,615","116,192"
10001,DE,Kent County,"162,990","165,258","167,605","169,457","171,949","173,533","174,827"
10003,DE,New Castle County,"538,934","542,308","546,041","549,521","552,271","555,167","556,987"
10005,DE,Sussex County,"197,892","200,358","203,347","206,417","210,728","215,376","220,251"
11001,DC,District of Columbia,"605,183","620,477","635,327","649,165","659,005","670,377","681,170"
12001,FL,Alachua County,"247,625","249,722","251,587","252,636","255,786","259,402","263,496"
